Client Names,Client Numbers
"PRINE HEALTH MEDICAL GROUP PLLC, PP NORTH SHORE HOSPITAL OP",5165624435
"PRINE HEALTH MEDICAL GROUP PLLC, PP NORTH SHORE HOSPITAL IP",5165624435
"PRINE HEALTH MEDICAL GROUP PLLC, PP NORTH SHORE HOSPITAL ER",5165624435
"PRINE HEALTH MEDICAL GROUP PLLC, .PV1 PRINE Vascular Lab",5163877463
"PRINE HEALTH MEDICAL GROUP PLLC, IRP FRESENIUS KIDNEY CARE BAY SHORE",6312248500
"PRINE HEALTH MEDICAL GROUP PLLC, .PRINE HEALTH MEDICAL GROUP",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, NN Fresenius Kidney Care Commack",6313870061
"PRINE HEALTH MEDICAL GROUP PLLC, RCA GARDEN CITY DIALYSIS CENTER",
"PRINE HEALTH MEDICAL GROUP PLLC, N01 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N02 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N03 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N04 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N05 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N06 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, N07 Adjustment",
"PRINE HEALTH MEDICAL GROUP PLLC, PP ST FRANCIS HOSPITAL OP",5165626000
"PRINE HEALTH MEDICAL GROUP PLLC, .GYN PRINE Gynecology",5167126565
"PRINE HEALTH MEDICAL GROUP PLLC, NSN FLORAL PARK HOME DIALYSIS",
"PRINE HEALTH MEDICAL GROUP PLLC, .NSDEA NorthShoreDiabetesEndocrine",5163270850
"PRINE HEALTH MEDICAL GROUP PLLC, PP PARKER JEWISH INSTITUTE OP",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, GYN PLAINVIEW HOSPITAL OP",
"PRINE HEALTH MEDICAL GROUP PLLC, GYN NYU WINTHROP HOSPITAL",
"PRINE HEALTH MEDICAL GROUP PLLC, GYN SOUTH NASSAU COMMUNITY HOSPITAL",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP Anchor Oceanside Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, Panetta Mercy Medical Center",
"PRINE HEALTH MEDICAL GROUP PLLC, Panetta NORTH SHORE UNIVERSITY HOSP",
"PRINE HEALTH MEDICAL GROUP PLLC, Panetta North Shore LIJ",
"PRINE HEALTH MEDICAL GROUP PLLC, Panetta Progressive Surgery Center",
"PRINE HEALTH MEDICAL GROUP PLLC, Panetta Staten Island University",
"PRINE HEALTH MEDICAL GROUP PLLC, .PRINE Podiatry A",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, .PRINE Podiatry B",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, .PP01 PRINE Podiatry",5164828826
"PRINE HEALTH MEDICAL GROUP PLLC, .PVA PRINE Vascular Access",5164828220
"PRINE HEALTH MEDICAL GROUP PLLC, GYN NYU LANGONE HOSPITALS",5166630333
"PRINE HEALTH MEDICAL GROUP PLLC, POD- North (LR,PPC1,PP,PPC3,LIOST)",
"PRINE HEALTH MEDICAL GROUP PLLC, POD-South (N2,N4,N5,PPC2,UR1)",
"PRINE HEALTH MEDICAL GROUP PLLC, POD-IRP",
"PRINE HEALTH MEDICAL GROUP PLLC, POD-NSN",
"PRINE HEALTH MEDICAL GROUP PLLC, POD-NSDEA",
"PRINE HEALTH MEDICAL GROUP PLLC, LS DaVita Anchor Ht At Home",5167665701
"PRINE HEALTH MEDICAL GROUP PLLC, LS FLORAL PARK HOME DIALYSIS",
"PRINE HEALTH MEDICAL GROUP PLLC, .R01A PRINE Rheumatology",5169313988
"PRINE HEALTH MEDICAL GROUP PLLC, .R01B PRINE Rheumatology",5167450202
"PRINE HEALTH MEDICAL GROUP PLLC, R01 PLAINVIEW HOSPITAL",
"PRINE HEALTH MEDICAL GROUP PLLC, .PP02 A PRINE PODIATRY",5164825999
"PRINE HEALTH MEDICAL GROUP PLLC, .PP02 B PRINE PODIATRY",5168838313
"PRINE HEALTH MEDICAL GROUP PLLC, PP PARKER JEWISH INSTITUTE IP",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, PP ST FRANCIS HOSPITAL ER",
"PRINE HEALTH MEDICAL GROUP PLLC, PP PARKER JEWISH INSTITUTE ER",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, PP ST FRANCIS HOSPITAL IP",
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC02 PRINE Primary Care",5163741677
"PRINE HEALTH MEDICAL GROUP PLLC, PVA WOODMERE REHABILITATION SNF",5163749300
"PRINE HEALTH MEDICAL GROUP PLLC, R01 Infusion Center",
"PRINE HEALTH MEDICAL GROUP PLLC, LS Mount Sinai South Nassau TCU",
"PRINE HEALTH MEDICAL GROUP PLLC, PPC02 Bristal North Woodmere",
"PRINE HEALTH MEDICAL GROUP PLLC, .Test Training Location",
"PRINE HEALTH MEDICAL GROUP PLLC, .URO1 PRINE Urology",5165931838
"PRINE HEALTH MEDICAL GROUP PLLC, UR01 Mount Sinai South Nassau OP",
"PRINE HEALTH MEDICAL GROUP PLLC, UR01 Mount Sinai South Nassau IP",
"PRINE HEALTH MEDICAL GROUP PLLC, UR01 Mount Sinai South Nassau ER",
"PRINE HEALTH MEDICAL GROUP PLLC, LR CLEARVIEW DIALYSIS",7182242398
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Grandell RehabandNursingCenter",5168891100
"PRINE HEALTH MEDICAL GROUP PLLC, RCA Beach Terrace Care Center",5164314400
"PRINE HEALTH MEDICAL GROUP PLLC, RCA The Grands Southpoint",7182156000
"PRINE HEALTH MEDICAL GROUP PLLC, .PP03 A PRINE Podiatry",5169386000
"PRINE HEALTH MEDICAL GROUP PLLC, .PP03 B PRINE PODIATRY",6316695440
"PRINE HEALTH MEDICAL GROUP PLLC, PP02NORTH SHORE UNIVERSITY HOSPITAL",5168766000
"PRINE HEALTH MEDICAL GROUP PLLC, PP03 GOOD SAMARITAN HOSPITALMEDICAL",6313763000
"PRINE HEALTH MEDICAL GROUP PLLC, PP03 PLAINVIEW HOSPITAL OP",5167193000
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC03 Prine Primary Care",5165051010
"PRINE HEALTH MEDICAL GROUP PLLC, PV1 Parker Jewish Institute",
"PRINE HEALTH MEDICAL GROUP PLLC, PV1EmergeNursing&Rehabilitation",5167409900
"PRINE HEALTH MEDICAL GROUP PLLC, PRINE Global Pay",
"PRINE HEALTH MEDICAL GROUP PLLC, Prine Health IPA",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, Prine Health Emblem Group",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, NSN PARKER JEWISH INSTITUTE OP",7182892100
"PRINE HEALTH MEDICAL GROUP PLLC, NSN Sands Point Center",5167919400
"PRINE HEALTH MEDICAL GROUP PLLC, .NX PRINE Transplant",5165140105
"PRINE HEALTH MEDICAL GROUP PLLC, LR Little Neck Dialysis",
"PRINE HEALTH MEDICAL GROUP PLLC, .PV2 PRINE Vascular Lab",5165140541
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC PRINE Primary Care C",
"PRINE HEALTH MEDICAL GROUP PLLC, PP02 East Hills Surgery Center 2200",
"PRINE HEALTH MEDICAL GROUP PLLC, PRINE Bonus Payments",
"PRINE HEALTH MEDICAL GROUP PLLC, PP02 SF NASSAU ASC LLC",
"PRINE HEALTH MEDICAL GROUP PLLC, PVA MIPS",
"PRINE HEALTH MEDICAL GROUP PLLC, IRP SKC-Mineola - dialysis center",
"PRINE HEALTH MEDICAL GROUP PLLC, PVA FKC Mineola Dialysis",5162475720
"PRINE HEALTH MEDICAL GROUP PLLC, Vascular Sono Division",
"PRINE HEALTH MEDICAL GROUP PLLC, UR01 Parker Jewish",
"PRINE HEALTH MEDICAL GROUP PLLC, GYN Northwell South Shore Hospital",
"PRINE HEALTH MEDICAL GROUP PLLC, .PPC PRINE Primary Care D",5163655570
"PRINE HEALTH MEDICAL GROUP PLLC, Research Studies",5163655570
"Coastal Vascular & Interventional, PLLC",8504791805.0
"Coastal Vascular & Interventional, PLLC, .Sacred 120",8504791805
"Coastal Vascular & Interventional, PLLC, .Sacred G21",8509691491
"Coastal Vascular & Interventional, PLLC, .V,I,C",8509128843
"Coastal Vascular & Interventional, PLLC, .Aesthetic Center",8509128249
"Coastal Vascular & Interventional, PLLC, .West Florida",8503326339
"Coastal Vascular & Interventional, PLLC, .Milton",8504791805
"Coastal Vascular & Interventional, PLLC, .N,I,C",8506780184
"Coastal Vascular & Interventional, PLLC, .Destin Commons",8509128847
"Coastal Vascular & Interventional, PLLC, .Destin Miramar",8506820032
"Coastal Vascular & Interventional, PLLC, .Crestview",8506820032
"Coastal Vascular & Interventional, PLLC, .Fort Walton Beach",8502264345
"Coastal Vascular & Interventional, PLLC, .Gulf Shores",8509128847
"Coastal Vascular & Interventional, PLLC, .Foley",8509128847
"Coastal Vascular & Interventional, PLLC, .Navarre",8503326339
"Coastal Vascular & Interventional, PLLC, .V,I,C B",8509128847
"Coastal Vascular & Interventional, PLLC, Baptist Hospital E,R",8504344011
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - O,P",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - I,P",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Wound Care",2519493400
"Coastal Vascular & Interventional, PLLC, Coastal Foot Care Center",2519705777
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital -I,P",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital - O,P",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital - E,R",8509342000
"Coastal Vascular & Interventional, PLLC, Life Care Center of Pensacola",8504715400
"Coastal Vascular & Interventional, PLLC, Lifeline -N,I,C",
"Coastal Vascular & Interventional, PLLC, Lifeline -V,I,C",
"Coastal Vascular & Interventional, PLLC, N,O,M,C - I,P",8506898100
"Coastal Vascular & Interventional, PLLC, N,O,M,C - O,P",8506898100
"Coastal Vascular & Interventional, PLLC, N,O,M,C -E,R",8506898100
"Coastal Vascular & Interventional, PLLC, Paul Brooks-Padnet",8504796250
"Coastal Vascular & Interventional, PLLC, Pensacola Podiatry",8504762805
"Coastal Vascular & Interventional, PLLC, Select - I,P",8504734800
"Coastal Vascular & Interventional, PLLC, Sacred  Heart Hospital -I,P",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Hospital - E,R",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Hospital- O,P",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -E,R",8502783000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -I,P",8502783000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -O,P",8502783000
"Coastal Vascular & Interventional, PLLC, White Sands Podiatry",8506221607
"Coastal Vascular & Interventional, PLLC, S,R,M,C - E,R",8506267762
"Coastal Vascular & Interventional, PLLC, S,R,M,C -I,P",8506267762
"Coastal Vascular & Interventional, PLLC, S,R,M,C -O,P",8506267762
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -I,P",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -O,P",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -E,R",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Rehab",8504946450
"Coastal Vascular & Interventional, PLLC, Baptist Hospital I,P",8504344011
"Coastal Vascular & Interventional, PLLC, Baptist Hospital  O,P",8504344011
"Coastal Vascular & Interventional, PLLC, F,W,B - I,P",8508621111
"Coastal Vascular & Interventional, PLLC, F,W,B - O,P",8508621111
"Coastal Vascular & Interventional, PLLC, F,W,B - E,R",8508621111
"Coastal Vascular & Interventional, PLLC, SRMC -Wound Care",
"Coastal Vascular & Interventional, PLLC, Sacred Heart W,C",
"Coastal Vascular & Interventional, PLLC, Sacred Destin Wound Care",
"Coastal Vascular & Interventional, PLLC, Hospice",
"Coastal Vascular & Interventional, PLLC, .Gulf Breeze",
"Coastal Vascular & Interventional, PLLC, Sacred Heart Bay I,P",1 8-76-151
"Coastal Vascular & Interventional, PLLC, Sacred Heart Bay O,P",1 8-76-151
"Coastal Vascular & Interventional, PLLC, .Sacred 120",8504791805
"Coastal Vascular & Interventional, PLLC, .Sacred G21",8509691491
"Coastal Vascular & Interventional, PLLC, .V,I,C",8509128843
"Coastal Vascular & Interventional, PLLC, .Aesthetic Center",8509128249
"Coastal Vascular & Interventional, PLLC, .West Florida",8503326339
"Coastal Vascular & Interventional, PLLC, .Milton",8504791805
"Coastal Vascular & Interventional, PLLC, .N,I,C",8506780184
"Coastal Vascular & Interventional, PLLC, .Destin Commons",8509128847
"Coastal Vascular & Interventional, PLLC, .Destin Miramar",8506820032
"Coastal Vascular & Interventional, PLLC, .Crestview",8506820032
"Coastal Vascular & Interventional, PLLC, .Fort Walton Beach",8502264345
"Coastal Vascular & Interventional, PLLC, .Gulf Shores",8509128847
"Coastal Vascular & Interventional, PLLC, .Foley",8509128847
"Coastal Vascular & Interventional, PLLC, .Navarre",8503326339
"Coastal Vascular & Interventional, PLLC, .V,I,C B",8509128847
"Coastal Vascular & Interventional, PLLC, Baptist Hospital E,R",8504344011
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - O,P",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - I,P",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Wound Care",2519493400
"Coastal Vascular & Interventional, PLLC, Coastal Foot Care Center",2519705777
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital -I,P",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital - O,P",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital - E,R",8509342000
"Coastal Vascular & Interventional, PLLC, Life Care Center of Pensacola",8504715400
"Coastal Vascular & Interventional, PLLC, Lifeline -N,I,C",
"Coastal Vascular & Interventional, PLLC, Lifeline -V,I,C",
"Coastal Vascular & Interventional, PLLC, N,O,M,C - I,P",8506898100
"Coastal Vascular & Interventional, PLLC, N,O,M,C - O,P",8506898100
"Coastal Vascular & Interventional, PLLC, N,O,M,C -E,R",8506898100
"Coastal Vascular & Interventional, PLLC, Paul Brooks-Padnet",8504796250
"Coastal Vascular & Interventional, PLLC, Pensacola Podiatry",8504762805
"Coastal Vascular & Interventional, PLLC, Select - I,P",8504734800
"Coastal Vascular & Interventional, PLLC, Sacred  Heart Hospital -I,P",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Hospital - E,R",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Hospital- O,P",8504167000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -E,R",8502783000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -I,P",8502783000
"Coastal Vascular & Interventional, PLLC, Sacred Heart Destin -O,P",8502783000
"Coastal Vascular & Interventional, PLLC, White Sands Podiatry",8506221607
"Coastal Vascular & Interventional, PLLC, S,R,M,C - E,R",8506267762
"Coastal Vascular & Interventional, PLLC, S,R,M,C -I,P",8506267762
"Coastal Vascular & Interventional, PLLC, S,R,M,C -O,P",8506267762
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -I,P",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -O,P",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Hospital -E,R",8504944000
"Coastal Vascular & Interventional, PLLC, West Florida Rehab",8504946450
"Coastal Vascular & Interventional, PLLC, Baptist Hospital I,P",8504344011
"Coastal Vascular & Interventional, PLLC, Baptist Hospital  O,P",8504344011
"Coastal Vascular & Interventional, PLLC, F,W,B - I,P",8508621111
"Coastal Vascular & Interventional, PLLC, F,W,B - O,P",8508621111
"Coastal Vascular & Interventional, PLLC, F,W,B - E,R",8508621111
"Coastal Vascular & Interventional, PLLC, SRMC -Wound Care",
"Coastal Vascular & Interventional, PLLC, Sacred Heart W,C",
"Coastal Vascular & Interventional, PLLC, Sacred Destin Wound Care",
"Coastal Vascular & Interventional, PLLC, Hospice",
"Coastal Vascular & Interventional, PLLC, .Gulf Breeze",
"Coastal Vascular & Interventional, PLLC, Sacred Heart Bay I,P",1 8-76-151
"Coastal Vascular & Interventional, PLLC, Sacred Heart Bay O,P",1 8-76-151
"Coastal Vascular & Interventional, PLLC, .Sacred 120",8504791805
"Coastal Vascular & Interventional, PLLC, .Sacred G21",8509691491
"Coastal Vascular & Interventional, PLLC, .VIC",8509128843
"Coastal Vascular & Interventional, PLLC, .Aesthetic Center",8509128249
"Coastal Vascular & Interventional, PLLC, .West Florida",8503326339
"Coastal Vascular & Interventional, PLLC, .Milton",8504791805
"Coastal Vascular & Interventional, PLLC, .NIC",8506780184
"Coastal Vascular & Interventional, PLLC, .Destin Commons",8509128847
"Coastal Vascular & Interventional, PLLC, .Destin Miramar",8506820032
"Coastal Vascular & Interventional, PLLC, .Crestview",8506820032
"Coastal Vascular & Interventional, PLLC, .Fort Walton Beach",8502264345
"Coastal Vascular & Interventional, PLLC, .Gulf Shores",8509128847
"Coastal Vascular & Interventional, PLLC, .Foley",8509128847
"Coastal Vascular & Interventional, PLLC, .Navarre",8503326339
"Coastal Vascular & Interventional, PLLC, .VIC B",8509128847
"Coastal Vascular & Interventional, PLLC, Baptist Hospital ER",8504344011
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - OP",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Hospital - IP",2519493454
"Coastal Vascular & Interventional, PLLC, Baldwin Wound Care",2519493400
"Coastal Vascular & Interventional, PLLC, Coastal Foot Care Center",2519705777
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital -IP",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hosptial - OP",8509342000
"Coastal Vascular & Interventional, PLLC, Gulf Breeze Hospital - ER",8509342000
"Coastal Vascular & Interventional, PLLC, Life Care Center of Pensacola",8504715400
