,Client Numbers,Client Names,
49,14805220959,Arizona Health Services LLC  CC Name: AKPC Arizona,
50,13462262943,Arizona Health Services LLC  CC Name: AKPC Arizona,
51,13463262703,Arizona Health Services LLC  CC Name: AKPC Arizona,
52,13466392881,Arizona Health Services LLC  CC Name: AKPC Arizona,
53,15164925553,"Woodlands Health Group, PLLC",
54,13463848867,"Woodlands Health Group, PLLC",
55,16306893329,"Woodlands Health Group, PLLC",
56,18326886111,"Woodlands Health Group, PLLC",
57,18329246144,"Woodlands Health Group, PLLC",
58,18323674924,"Woodlands Health Group, PLLC",
59,13462779757,"Woodlands Health Group, PLLC",
60,12812283437,"Woodlands Health Group, PLLC",
61,13305029239,"Woodlands Health Group, PLLC",
62,18324956595,"Woodlands Health Group, PLLC",
63,13462301318,Active Life Health of Manhattan,
64,13463656132,Active Life Health of Manhattan,
65,16468467444,Active Life Health of Manhattan,
66,71868492983,"Active Life Health of Garden City Medical, PLLC",
67,15163312082,"Active Life Health of Garden City Medical, PLLC",
68,13462202105,"Active Life Health of Garden City Medical, PLLC",
69,18326886085,"Active Life Health of Garden City Medical, PLLC",
70,16318274580,"Active Life Health of Garden City Medical, PLLC",
71,15164513488,"Active Life Health of Garden City Medical, PLLC",
72,19147857752,Active Life Health of White Plains,
73,13472483217,Active Life Health of White Plains,
74,908328789,Active Life Health of White Plains,
75,16146833099,Active Life Health of Columbus LLC,
76,16146988900,Active Life Health of Columbus LLC,
77,16149497551,Active Life Health of Columbus LLC,
78,18323656132,Active Life Health of Columbus LLC,
79,13462202338,Active Life Health of Columbus LLC,
80,16146183588,Active Life Health of Columbus LLC,
81,16145040740,Active Life Health of Columbus LLC,
82,16143024446,Active Life Health of Columbus LLC,
83,15405141224,Active Life Health of Columbus LLC,
84,19375782867,Active Life Health of Columbus LLC,
85,19375783867,Active Life Health of Columbus LLC,
86,17044886896,"Active Life Health of Columbia, LLC",
87,13462331340,"Active Life Health of Columbia, LLC",
88,13462202473,"Active Life Health of Columbia, LLC",
89,13463612146,"Active Life Health of Columbia, LLC",
90,13463848987,"Active Life Health of Columbia, LLC",
91,13462331926,"Active Life Health of Columbia, LLC",
92,12817813518,"Active Life Health of Columbia, LLC",
93,17327621986,"Active Life Health of Columbia, LLC",
94,13462204882,"Active Life Health of Columbia, LLC",
95,13462262826,"Active Life Health of Columbia, LLC",
96,13059058523,"Active Life Health of Columbia, LLC",
97,18032335500,"Active Life Health of Columbia, LLC",
98,13364065219,"Active Life Health of Columbia, LLC",
99,18035091734,"Active Life Health of Columbia, LLC",
100,17044595439,"Active Life Health of Columbia, LLC",
101,15107098751,"Active Life Health of Columbia, LLC",
102,13212587877,"Active Life Health of Columbia, LLC",
103,13363965730,"Active Life Health of Columbia, LLC",
104,13462205787,"Active Life Health of Columbia, LLC",
105,17042723828,"Active Life Health of Columbia, LLC",
106,16316568796,"Active Life Health of Columbia, LLC",
107,13462205540,"Active Life Health of Columbia, LLC",
108,18589973009,"Active Life Health of Columbia, LLC",
109,15134001723,"Active Life Health of Cincinnati, LLC",
110,15133420030,"Active Life Health of Cincinnati, LLC",
111,15139537726,"Active Life Health of Cincinnati, LLC",
112,15136092544,"Active Life Health of Cincinnati, LLC",
113,12814750261,"Active Life Health of Cincinnati, LLC",
114,15132525762,"Active Life Health of Cincinnati, LLC",
115,15132125590,"Active Life Health of Cincinnati, LLC",
116,17169327777,CCS ONCOLOGY PC,
117,16105053336,A K Medical Assoc,
118,12154773900,A K Medical Assoc,
119,14439150641,A.R.P Counseling & Therapeutic Services,
120,14433962419,A.R.P Counseling & Therapeutic Services,
121,14438696041,A.R.P Counseling & Therapeutic Services,
122,14433962421,A.R.P Counseling & Therapeutic Services,
123,13025267815,A.R.P Counseling & Therapeutic Services,
124,15122577600,Absolute Dermatology and Medi-Spa,
125,512560747,Absolute Dermatology and Medi-Spa,
126,15122965535,Absolute Dermatology and Medi-Spa,
127,15128184125,Absolute Dermatology and Medi-Spa,
128,12052469824,Absolute Dermatology and Medi-Spa,
129,15124978705,Absolute Dermatology and Medi-Spa,
130,15124760275,Absolute Dermatology and Medi-Spa,
131,16306011428,Absolute Dermatology and Medi-Spa,
132,18052363902,Absolute Dermatology and Medi-Spa,
133,12052577600,Absolute Dermatology and Medi-Spa,
134,51288700000000,Absolute Dermatology and Medi-Spa,
135,17187872215,Accurate Dermatology P.L.L.C,
136,16463879268,Accurate Dermatology P.L.L.C,
137,15168229730,Accurate Dermatology P.L.L.C,
138,15163551660,Accurate Dermatology P.L.L.C,
139,12123438290,Active Care Physician,
140,16463373171,Active Care Physician,
141,15956614127,Acupuncture Clinic,
142,15056614127,Acupuncture Clinic,
143,19739864768,ACUPUNCTURE TO SERENITY LLC,
144,19547812211,"Adel Helmy, M.D.",
145,16464894166,"Adel Helmy, M.D.",
146,15612128638,"Adel Helmy, M.D.",
147,14122792020,Adiba Ahmed MD,
148,13305242319,Adult Geriatrics of Wooster,
149,17186506977,Advance Medical Office,
150,17187690506,Advance Medical Office,
151,19178609726,Advance Medical Office,
152,17182871811,Advance Medical Office,
153,16465339256,Advance Medical Office,
154,17187695060,Advance Medical Office,
155,17187690560,Advance Medical Office,
156,19179242184,Advance Medical Office,
157,19176024586,Advance Medical Office,
158,12122012853,Advance Medical Office,
159,17197690506,Advance Medical Office,
160,717690506,Advance Medical Office,
161,14073518222,"Advanced Cardiology Specialists, P.A.",
162,14073550300,"Advanced Cardiology Specialists, P.A.",
163,14075521754,"Advanced Cardiology Specialists, P.A.",
164,40755217,"Advanced Cardiology Specialists, P.A.",
165,17244585844,Advanced Chiropractic of Grove City,
166,18325068946,Advanced Colon Care,
167,13478204943,Advanced Colon Care,
168,15864810606,Advanced Colon Care,
169,17733856069,Advanced Dermatology And Cosmetic Center,
170,+7083514147Æ,Advanced Dermatology And Cosmetic Center,
171,17734908194,Advanced Dermatology And Cosmetic Center,
172,14073521303,"Advanced Gastroenterology Affiliates, P.A",
173,16477177920,"Advanced Gastroenterology Affiliates, P.A",
174,14073524632,"Advanced Gastroenterology Affiliates, P.A",
175,18173804880,Advanced Institute For Diabetes and Endocrinology,
176,16824229406,Advanced Institute For Diabetes and Endocrinology,
177,13037080246,Advanced Integrative Medicine,
178,12404478045,Advanced Integrative Medicine,
179,17203461193,Advanced Integrative Medicine,
180,17202202997,Advanced Integrative Medicine,
181,13032637761,Advanced Integrative Medicine,
182,17206180487,Advanced Integrative Medicine,
183,13032637993,Advanced Integrative Medicine,
184,17209712158,Advanced Integrative Medicine,
185,13039907100,Advanced Integrative Medicine,
186,3037080246,Advanced Integrative Medicine,
187,7203461193,Advanced Integrative Medicine,
188,15013214772,Advanced Interventional Pain Management,
189,18704445210,Advanced Interventional Pain Management,
190,15015455541,Advanced Interventional Pain Management,
191,18707747246,Advanced Interventional Pain Management,
192,19032931808,Advanced Interventional Pain Management,
193,15013214292,Advanced Interventional Pain Management,
194,15043214772,Advanced Interventional Pain Management,
195,19033065788,Advanced Interventional Pain Management,
196,18304831053,Advanced Interventional Pain Management,
197,15015471474,Advanced Interventional Pain Management,
198,15018316713,Advanced Interventional Pain Management,
199,15016582725,Advanced Interventional Pain Management,
200,15012767747,Advanced Interventional Pain Management,
201,15016209698,Advanced Interventional Pain Management,
202,15013214773,Advanced Interventional Pain Management,
203,5015470000000,Advanced Interventional Pain Management,
204,15016935315,Advanced Interventional Pain Management,
205,15013924458,Advanced Interventional Pain Management,
206,15015413500,Advanced Interventional Pain Management,
207,18707842179,Advanced Interventional Pain Management,
208,19032804559,Advanced Interventional Pain Management,
209,15012769911,Advanced Interventional Pain Management,
210,19032933690,Advanced Interventional Pain Management,
211,15013260901,Advanced Interventional Pain Management,
212,18704641532,Advanced Interventional Pain Management,
213,19032767651,Advanced Interventional Pain Management,
214,15012827465,Advanced Interventional Pain Management,
215,15016808970,Advanced Interventional Pain Management,
216,+870B7742223,Advanced Interventional Pain Management,
217,15612184859,Advanced Kidney and Hypertension Care,
218,17542298612,Advanced Kidney and Hypertension Care,
219,15614530347,Advanced Kidney and Hypertension Care,
220,19544154421,Advanced Kidney and Hypertension Care,
221,1360,Advanced Kidney and Hypertension Care,
222,954154421,Advanced Kidney and Hypertension Care,
223,+?5614530347,Advanced Kidney and Hypertension Care,
224,13475150824,Advanced Kidney and Hypertension Care,
225,?+15614530347,Advanced Kidney and Hypertension Care,
226,19543467632,Advanced Kidney and Hypertension Care,
227,15614682130,Advanced Kidney and Hypertension Care,
228,17542298616,Advanced Kidney and Hypertension Care,
229,12013974046,Advanced Magnetic Imaging Inc,
230,16463530115,Advanced Ob/Gyn,
231,19175724297,Advanced Ob/Gyn,
232,13474927171,Advanced Ob/Gyn,
233,12127440392,Advanced Ob/Gyn,
234,19735345039,Advanced Ob/Gyn,
235,17183361909,Advanced Ob/Gyn,
236,17858566170,"Advanced Specialty Anesthesia, LLC",
237,17853305616,"Advanced Specialty Anesthesia, LLC",
238,17855509176,"Advanced Specialty Anesthesia, LLC",
239,17855420329,"Advanced Specialty Anesthesia, LLC",
240,17853305316,"Advanced Specialty Anesthesia, LLC",
241,17853305419,"Advanced Specialty Anesthesia, LLC",
242,17853305362,"Advanced Specialty Anesthesia, LLC",
243,17853305403,"Advanced Specialty Anesthesia, LLC",
244,19193377039,"Advanced Surgical Associates, PA",
245,19198519193,"Advanced Surgical Associates, PA",
246,19193373877,"Advanced Surgical Associates, PA",
247,17327753030,Advanced Urogynecology Associates AUA,
248,17324312155,Advanced Wellness,
249,17327801111,Advanced Wellness,
250,15116346338,Advanced Wellness,
251,11234567891,Advanced Wellness,
252,17324212155,Advanced Wellness,
253,7324312155X1,Advanced Wellness,
254,17329951484,Advanced Wellness,
255,17324152155,Advanced Wellness,
256,17328134848,Advanced Wellness,
257,17327321111,Advanced Wellness,
258,17325676023,Advanced Wellness,
259,19176136053,Advanced Wellness,
260,17753400412,Agape Hospice and Pallative Care,
261,17754556646,Agape Hospice and Pallative Care,
262,17754556015,Agape Hospice and Pallative Care,
263,17752290567,Agape Hospice and Pallative Care,
264,17754556016,Agape Hospice and Pallative Care,
265,13025079604,AGNES VANBUREN,
266,21547127,AGNES VANBUREN,
267,12154712780,AGNES VANBUREN,
268,12157471744,AGNES VANBUREN,
269,16109094720,AGNES VANBUREN,
270,16466179466,"Agnieszka Kokoszka, MD - Neurology and Neurotesting",
271,16466614117,"Agnieszka Kokoszka, MD - Neurology and Neurotesting",
272,18433302772,"Agnieszka Kokoszka, MD - Neurology and Neurotesting",
273,15169785684,"Agnieszka Kokoszka, MD - Neurology and Neurotesting",
274,18634677084,Ahmed Akhter MD LLC,
275,18636970803,Ahmed Akhter MD LLC,
276,19545717727,AIM Healthcare,
277,15617037022,AIM Healthcare,
278,19545717239,AIM Healthcare,
279,11111111111,"Ajit Singh, MD PA",
280,15619297807,"Ajit Singh, MD PA",
281,19545717708,"Ajit Singh, MD PA",
282,16692479841,"Ajit Singh, MD PA",
283,17542228979,"Akkil Ali, MD PA",
284,19548037236,"Akkil Ali, MD PA",
285,19547216541,"Akkil Ali, MD PA",
286,75412228979,"Akkil Ali, MD PA",
287,19542563044,"Akkil Ali, MD PA",
288,75422228979,"Akkil Ali, MD PA",
289,19545299457,"Akkil Ali, MD PA",
290,19546952517,"Akkil Ali, MD PA",
291,12057992948,Alabama Cancer Care,
292,12054679407,Alabama Cancer Care,
293,12568473369,Alabama Cancer Care,
294,12053669740,Alabama Cancer Care,
295,25671796,Alabama Cancer Care,
296,12564674572,Alabama Cancer Care,
297,12562450297,Alabama Cancer Care,
298,15615120963,Alabama Cancer Care,
299,12562383804,Alabama Cancer Care,
300,12053458208,Alabama Cancer Care,
301,13342738877,Alabama Cancer Care,
302,12565470536,Alabama Cancer Care,
303,12564674164,Alabama Cancer Care,
304,13344250913,Alabama Cancer Care,
305,12565478703,Alabama Cancer Care,
306,19015686338,Alabama Cancer Care,
307,12054825216,Alabama Cancer Care,
308,12563127302,Alabama Cancer Care,
309,12568453500,Alabama Cancer Care,
310,12057998100,Alabama Cancer Care,
311,12565723470,Alabama Cancer Care,
312,12566309507,Alabama Cancer Care,
313,12565582822,Alabama Cancer Care,
314,12568478369,Alabama Cancer Care,
315,12563101583,Alabama Cancer Care,
316,12564902425,Alabama Cancer Care,
317,12053669742,Alabama Cancer Care,
318,12566248024,Alabama Cancer Care,
319,12053492004,Alabama Cancer Care,
320,12018934411,Alabama Cancer Care,
321,12056023258,Alabama Cancer Care,
322,12563438366,Alabama Cancer Care,
323,25660509,Alabama Cancer Care,
324,13022601932,Alabama Cancer Care,
325,12563649335,Alabama Cancer Care,
326,12052232611,Alabama Cancer Care,
327,12562450279,Alabama Cancer Care,
328,13343123643,Alabama Cancer Care,
329,13342069469,Alabama Department of Public Health,
330,12052454611,Alabama Department of Public Health,
331,13342062905,Alabama Department of Public Health,
332,12519468005,Alabama Department of Public Health,
333,13342069475,Alabama Department of Public Health,
334,13342065081,Alabama Department of Public Health,
335,13342069470,Alabama Department of Public Health,
336,13442069475,Alabama Department of Public Health,
337,13342067918,Alabama Department of Public Health,
338,13342066439,Alabama Department of Public Health,
339,13342065018,Alabama Department of Public Health,
340,13342066230,Alabama Department of Public Health,
341,13342609469,Alabama Department of Public Health,
342,13342069471,Alabama Department of Public Health,
343,33482067918,Alabama Department of Public Health,
344,13342607918,Alabama Department of Public Health,
345,13347871618,Alabama Department of Public Health,
346,13342067979,Alabama Department of Public Health,
347,0,Alabama Department of Public Health,
348,13342069484,Alabama Department of Public Health,
349,15754342965,Alamogordo Internal Medicine,
350,15759218116,Alamogordo Internal Medicine,
351,15754916887,Alamogordo Internal Medicine,
352,16462200822,"Alan J. Dayan, MD, PC, FAAOX",
353,16469152817,"Alan J. Dayan, MD, PC, FAAOX",
354,17182326348,"Alan J. Dayan, MD, PC, FAAOX",
355,19179228883,"Alan J. Dayan, MD, PC, FAAOX",
356,19292299834,"Alan J. Dayan, MD, PC, FAAOX",
357,7182330000000,"Alan J. Dayan, MD, PC, FAAOX",
358,12523384412,Albemarle Regional Health Services,
359,12523384495,Albemarle Regional Health Services,
360,12523384400,Albemarle Regional Health Services,
361,12523384421,Albemarle Regional Health Services,
362,12524262100,Albemarle Regional Health Services,
363,12523384408,Albemarle Regional Health Services,
364,12523384370,Albemarle Regional Health Services,
365,12523400182,Albemarle Regional Health Services,
366,12523384424,Albemarle Regional Health Services,
367,12522094479,Albemarle Regional Health Services,
368,12524826003,Albemarle Regional Health Services,
369,12523571380,Albemarle Regional Health Services,
370,12522322271,Albemarle Regional Health Services,
371,17579157925,Albemarle Regional Health Services,
372,19196702222,Albemarle Regional Health Services,
373,12523384457,Albemarle Regional Health Services,
374,12523384465,Albemarle Regional Health Services,
375,12523384435,Albemarle Regional Health Services,
376,12523384418,Albemarle Regional Health Services,
377,12529437245,Albemarle Regional Health Services,
378,12523384453,Albemarle Regional Health Services,
379,12528624054,Albemarle Regional Health Services,
380,12523384561,Albemarle Regional Health Services,
381,12523129981,Albemarle Regional Health Services,
382,25233844,Albemarle Regional Health Services,
383,12523250242,Albemarle Regional Health Services,
384,12523385438,Albemarle Regional Health Services,
385,12524826013,Albemarle Regional Health Services,
386,17574981751,Albemarle Regional Health Services,
387,12523357366,Albemarle Regional Health Services,
388,12523376716,Albemarle Regional Health Services,
389,12527223066,Albemarle Regional Health Services,
390,12523384411,Albemarle Regional Health Services,
391,12523256622,Albemarle Regional Health Services,
392,16094025631,Albemarle Regional Health Services,
393,12523395041,Albemarle Regional Health Services,
394,12524262113,Albemarle Regional Health Services,
395,BUG,Albemarle Regional Health Services,
396,12523384455,Albemarle Regional Health Services,
397,16812077192,Albert F Olivier MD,
398,12157455662,"Albert Nemez MD, PC &  Jack S Nemez MD",
399,18283527783,Alexander County  Health Department,
400,18283527788,Alexander County  Health Department,
401,18283527794,Alexander County  Health Department,
402,18286101437,Alexander County  Health Department,
403,18286329704,Alexander County  Health Department,
404,12128894360,"Alexandra Fingesten, MD",
405,12128531403,"Alexandra Fingesten, MD",
406,19542340774,"Alexandra Fingesten, MD",
407,12128894375,"Alexandra Fingesten, MD",
408,19173757158,"Alexandra Fingesten, MD",
409,16464686911,"Alexandra Fingesten, MD",
410,12109221977,"Alexei Arkhipov, MD",
411,12104542499,"Alexei Arkhipov, MD",
412,12109809452,"Alexei Arkhipov, MD",
413,15624212188,Alicia G Nugas MD,
414,17183600597,All 10g Clients,
415,12568821785,All Women's OB/GYN,
416,12564660634,All Women's OB/GYN,
417,12566127762,All Women's OB/GYN,
418,12562008971,All Women's OB/GYN,
419,14126618811,Allegheny Reproductive Hlth Ctr,
420,15052941471,Allergy And Asthma Care,
421,502941471,Allergy And Asthma Care,
422,12126854225,Allergy and Asthma of Murray Hills,
423,16464240400,Allergy and Asthma of Murray Hills,
424,15164588034,Allergy and Asthma of Murray Hills,
425,16465003976,Allergy and Asthma of Murray Hills,
426,16317243355,Allergy and Asthma of Murray Hills,
427,15167872691,Allergy and Asthma of Murray Hills,
428,13476816018,Allergy and Asthma of Murray Hills,
429,12126854125,Allergy and Asthma of Murray Hills,
430,17148488585,Allergy and Asthma Specialists,
431,19494736805,Allergy and Asthma Specialists,
432,12163813333,"Allergy/Immunology Associates, Inc.",
433,12163513333,"Allergy/Immunology Associates, Inc.",
434,12163800000000,"Allergy/Immunology Associates, Inc.",
435,12163817345,"Allergy/Immunology Associates, Inc.",
436,14404430707,"Allergy/Immunology Associates, Inc.",
437,14409990062,"Allergy/Immunology Associates, Inc.",
438,12166338237,"Allergy/Immunology Associates, Inc.",
439,12133813333,"Allergy/Immunology Associates, Inc.",
440,216381333,"Allergy/Immunology Associates, Inc.",
441,14409040185,"Allergy/Immunology Associates, Inc.",
442,14406356942,"Allergy/Immunology Associates, Inc.",
443,19734208452,Alli Surgical Assosciates,
444,19734299844,Alli Surgical Assosciates,
445,13477321317,Alli Surgical Assosciates,
446,19784662295,Alliance Dermatology,
447,19784222295,Alliance Dermatology,
448,15082030359,Alliance Dermatology,
449,15084782610,Alliance Dermatology,
450,15082770124,Alliance Dermatology,
451,15166559649,Alliance Family Medical Practice,
452,15164860094,Alliance Family Medical Practice,
453,15164065439,Alliance Family Medical Practice,
454,14124928585,ALLIANCE PSYCHOLOGICAL SERVICES LLC,
455,14126809269,ALLIANCE PSYCHOLOGICAL SERVICES LLC,
456,17242126265,ALLIANCE PSYCHOLOGICAL SERVICES LLC,
457,14124828585,ALLIANCE PSYCHOLOGICAL SERVICES LLC,
458,14784940421,"Alternative Healthcare Services, LLC",
459,18566297006,Altman and Gerety Family Medicine,
460,15125216189,Amana Psychiatric Associates,
461,15128845110,Amana Psychiatric Associates,
462,16464730870,AMG Medical Group,
463,17182630523,AMG Medical Group,
464,18327983054,AMIR A RASHEED MD PA,
465,18323503929,AMIR A RASHEED MD PA,
466,12818372288,AMIR A RASHEED MD PA,
467,15129139878,AMIR A RASHEED MD PA,
468,18323646824,AMIR A RASHEED MD PA,
469,18324539300,AMIR A RASHEED MD PA,
470,17199472014,AMIR A RASHEED MD PA,
471,18325978148,AMIR A RASHEED MD PA,
472,17132392347,AMIR A RASHEED MD PA,
473,17736166610,AMIR A RASHEED MD PA,
474,10323503929,AMIR A RASHEED MD PA,
475,12818964101,AMIR A RASHEED MD PA,
476,12816381261,AMIR A RASHEED MD PA,
477,18325634887,AMIR A RASHEED MD PA,
478,13823503929,AMIR A RASHEED MD PA,
479,18329332319,AMIR A RASHEED MD PA,
480,18324367370,AMIR A RASHEED MD PA,
481,12562593759,AMMA Healthcare Clinic INC,
482,13344934357,Andalusia Medical Care,
483,18644011095,Anderson Area Cancer Center,
484,18163857743,Andrew County  Health Department,
485,18163243139,Andrew County  Health Department,
486,19143099169,Anita Bhola Medical PC,
487,12017042943,Anita Bhola Medical PC,
488,18454610500,Anita Bhola Medical PC,
489,18457282267,Anita Bhola Medical PC,
490,18454584899,Anita Bhola Medical PC,
491,18453482209,Anita Bhola Medical PC,
492,18565777675,Anita Bhola Medical PC,
493,12168355284,Anita Bhola Medical PC,
494,16172321220,"Anjan Chaudhury, MD",
495,13862081200,Anjana Rana MD,
496,13862084177,Anjana Rana MD,
497,13862494177,Anjana Rana MD,
498,13864384638,Anjana Rana MD,
499,38620812,Anjana Rana MD,
500,18504646308,Anjana Rana MD,
501,13862096422,Anjana Rana MD,
502,3861200,Anjana Rana MD,
503,386281200,Anjana Rana MD,
504,17046945188,Anson County Health Department,
505,17049943376,Anson County Health Department,
506,17049943374,Anson County Health Department,
507,17049943326,Anson County Health Department,
508,13365963287,Anson County Health Department,
509,14128292001,Anthony C DiLiscia PhD,
510,12126755814,"Anthony C Milea, Jr MD",
511,14129213333,Anthony Chappie PM,
512,19728337246,Apex Interventional Pain & Spine,
513,18064418841,Apex Interventional Pain & Spine,
514,18282628660,Appalachian State University - Communication Disorders Clinic,
515,18282628657,Appalachian State University - Communication Disorders Clinic,
516,18282622185,Appalachian State University - Communication Disorders Clinic,
517,18282627701,Appalachian State University - Communication Disorders Clinic,
518,18282628658,Appalachian State University - Communication Disorders Clinic,
519,16033691326,Appalachian State University - Communication Disorders Clinic,
520,18282626852,Appalachian State University - Communication Disorders Clinic,
521,18282627677,Appalachian State University - Communication Disorders Clinic,
522,18282668660,Appalachian State University - Communication Disorders Clinic,
523,18287838730,Appalachian State University - Communication Disorders Clinic,
524,82877738972,Appalachian State University - Communication Disorders Clinic,
525,19193236605,Appalachian State University - Communication Disorders Clinic,
526,18284933969,Appalachian State University - Communication Disorders Clinic,
527,18282626639,Appalachian State University ASU Pscyh Clinic,
528,18452670110,ARC of Rockland,
529,18452672500,ARC of Rockland,
530,19176229126,ARC of Rockland,
531,18459056274,ARC of Rockland,
532,84522742030,ARC of Rockland,
533,18452742030,ARC of Rockland,
534,13153919139,ARC of Rockland,
535,8452670110X3,ARC of Rockland,
536,19175393518,ARC of Rockland,
537,19172149108,ARC of Rockland,
538,16614545178,"ARCE Medical Care, P.C.",
539,13864399777,Ardent Family Care - Medipro,
540,18705352800,Arkansas Cancer Clinic,
541,18704892203,Arkansas Cancer Clinic,
542,18709396379,Arkansas Cancer Clinic,
543,18709396307,Arkansas Cancer Clinic,
544,12127943999,Arlene H. Markowitz MD - Medipro,
545,16785641052,Arlene H. Markowitz MD - Medipro,
546,19723523714,Arthritis Relief Center,
547,13176001157,Arthritis Relief Center,
548,15128368800,Arthritis Relief Center,
549,12107498727,Arthritis Relief Center,
550,18305325400,Arthritis Relief Center,
551,12108856752,Arthritis Relief Center,
552,18308323551,Arthritis Relief Center,
553,18304632856,Arthritis Relief Center,
554,19182600103,Arthritis Relief Center,
555,12107802765,Arthritis Relief Center,
556,15129256929,Arthritis Relief Center,
557,12104054663,Arthritis Relief Center,
558,12105455111,Arthritis Relief Center,
559,19564543280,Arthritis Relief Center,
560,19406129544,Arthritis Relief Center,
561,12103887982,Arthritis Relief Center,
562,12103872190,Arthritis Relief Center,
563,12109865844,Arthritis Relief Center,
564,17136142401,Arthritis Relief Center,
565,15127750516,Arthritis Relief Center,
566,15054633362,Arthritis Relief Center,
567,12814951395,Arthritis Relief Center,
568,12111111111,Arthritis Relief Center,
569,21111111111,Arthritis Relief Center,
570,18329489018,Arthritis Relief Center,
571,12104059797,Arthritis Relief Center,
572,12104859301,Arthritis Relief Center,
573,12126737500,"Arthur Hryhorowych, MD",
574,12122477447,"Arthur M Lubitz, MD PC",
575,12127660011,"Arthur M Lubitz, MD PC",
576,12126854765,"Arthur M Lubitz, MD PC",
577,15164764236,"Arthur M Lubitz, MD PC",
578,91744276011,"Arthur M Lubitz, MD PC",
579,18323663065,"Arthur M Lubitz, MD PC",
580,16462383455,"Arthur M Lubitz, MD PC",
581,15167666404,"Arthur M Lubitz, MD PC",
582,12122684765,"Arthur M Lubitz, MD PC",
583,21266854765,"Arthur M Lubitz, MD PC",
584,19179139655,"Arthur M Lubitz, MD PC",
585,19147197809,"Arthur M Lubitz, MD PC",
586,64622383455,"Arthur M Lubitz, MD PC",
587,17185412644,"Arthur M Lubitz, MD PC",
588,16467706023,"Arthur M Lubitz, MD PC",
589,15166780620,"Arthur M Lubitz, MD PC",
590,12123498455,"Arturo Constantiner, MD",
591,16068335505,Ashland Orthopedic Associates,
592,917731253,Asna Wellness Medical OB/GYN,
593,19177312536,Asna Wellness Medical OB/GYN,
594,17185450003,Asna Wellness Medical OB/GYN,
595,16023266286,Asna Wellness Medical OB/GYN,
596,13474355065,Asna Wellness Medical OB/GYN,
597,19177312453,Asna Wellness Medical OB/GYN,
598,17245419690,"Aspire Pediatric Therapy, LLC",
599,14125135539,"Aspire Pediatric Therapy, LLC",
600,19733768500,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
601,12124815626,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
602,19083478561,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
603,12124875626,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
604,19738203850,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
605,19739861507,Associates in Dermatology and Cosmetic Surgery/Milburn Laser Center,
